title,artist,peak_position,total_weeks,first_chart_date,main_genre,all_genres,genre_source
Headphones On,Addison Rae,87,1,2025-05-03,Pop,pop; 2020s; dance-pop; teen pop; bubblegum pop,musicbrainz
gp,Gunna,87,1,2025-08-23,Hip Hop/Rap,hip hop; pop rap; southern hip hop; trap,musicbrainz
Holiday Road,Kesha,88,1,2025-01-04,Unknown,No genre data,none
Push 2 Start,Tyla,88,7,2025-02-01,R&B,amapiano; pop; afrobeats; contemporary r&b; r&b,musicbrainz
South Atlanta Baby,Playboi Carti,88,1,2025-03-29,Hip Hop/Rap,hip hop; trap; rap; southern hip hop; cloud rap,musicbrainz
Crazy Eyes,Morgan Wallen,88,1,2025-05-31,Country,country; country pop,musicbrainz
Sacrifice,Mariah the Scientist,88,1,2025-09-06,R&B,contemporary r&b; r&b; r&b/soul,musicbrainz
Love Song,Justin Bieber,88,1,2025-09-20,R&B,pop soul; contemporary r&b; yacht rock,musicbrainz
Santa Baby,Laufey,89,1,2025-01-04,Pop,jazz pop; singer-songwriter; bossa nova; easy listening; jazz,musicbrainz
Old Phone,Ed Sheeran,89,1,2025-05-17,Pop,pop; folk pop; dance-pop; folk; singer-songwriter,musicbrainz
Holy Blindfold,Chris Brown,89,1,2025-06-28,R&B,pop; contemporary r&b; 2000s; 2010s; dance,musicbrainz
Forever Young,"David Guetta, Alphaville & Ava Max",90,5,2025-01-25,Electronic/Dance,house; dance-pop; dance; electro house; electronic,musicbrainz
Like I Do,Tate McRae,90,1,2025-03-08,R&B,pop; 2020s; dance-pop; alternative pop; contemporary r&b,musicbrainz
"Henry, Come On",Lana Del Rey,90,1,2025-04-26,Electronic/Dance,indie pop; alternative; dream pop; electronic; pop,musicbrainz
Gnarly,KATSEYE,90,11,2025-05-17,Pop,dance-pop; girl group; pop; k-pop; female vocals,musicbrainz
Don't Say You Love Me,Jin,90,1,2025-05-31,Pop,indie pop,musicbrainz
Count Your Blessings,$uicideboy$,90,1,2025-08-16,Hip Hop/Rap,hip hop; cloud rap; southern hip hop; horrorcore; memphis rap,musicbrainz
