title,artist,peak_position,total_weeks,first_chart_date,main_genre,all_genres,genre_source
Dark Til Daylight,Morgan Wallen,49,8,2025-05-31,Country,country; country pop,musicbrainz
Butterflies,Justin Bieber,49,1,2025-07-26,Pop,alternative pop; neo-psychedelia; sophisti-pop; bedroom pop,musicbrainz
Graveyard Whistling,Morgan Wallen,49,1,2025-11-01,Country,country; country pop,musicbrainz
You Make It Feel Like Christmas,Gwen Stefani Featuring Blake Shelton,50,1,2025-01-04,Unknown,No genre data,none
Pitorro de Coco,Bad Bunny,50,5,2025-01-11,Latin,danceable; latin; reggaeton,lastfm
Outfit,Lil Baby & 21 Savage,50,2,2025-01-18,Hip Hop/Rap,hip hop; english; rap; southern hip hop; trap,musicbrainz
OWA OWA,Lil Tecca,50,5,2025-06-14,Hip Hop/Rap,hip hop; east coast hip hop; pop rap; trap,musicbrainz
Better Me For You (Brown Eyes),Max McNown,50,23,2025-06-14,Unknown,No genre data,none
Takedown,"JEONGYEON, JIHYO & CHAEYOUNG Of TWICE",50,19,2025-07-19,Unknown,No genre data,none
Kick Out,Travis Scott,50,2,2025-07-26,Hip Hop/Rap,hip hop; trap; rap; southern hip hop; english,musicbrainz
Spaghetti,Le Sserafim & J-Hope,50,2,2025-11-08,Pop,k-pop; girl group; 4th gen k-pop,musicbrainz
Drive,SZA,51,4,2025-01-04,Hip Hop/Rap,neo-soul; alternative hip hop; bedroom pop,lastfm
Dos Dias,Tito Double P & Peso Pluma,51,5,2025-01-04,Latin,corrido; latin; regional mexicano,musicbrainz
Apple,Charli xcx,51,1,2025-01-11,Electronic/Dance,electropop; synthpop; dance-pop; pop; electronic,lastfm
Stuff,Lil Baby Featuring Travis Scott,51,3,2025-01-18,Unknown,No genre data,none
La Mudanza,Bad Bunny,51,4,2025-01-18,Latin,salsa; salsa choke,musicbrainz
Whim Whamiee,PLUTO & YKNIECE,51,16,2025-05-03,Unknown,No genre data,none
Interlude,Morgan Wallen,51,3,2025-05-31,Country,country; country pop,musicbrainz
Stop Playing With Me,"Tyler, the Creator",51,2,2025-08-02,Hip Hop/Rap,hip hop; hardcore hip hop; horrorcore; west coast hip hop,musicbrainz
Strategy,Twice,51,17,2025-08-02,Pop,pop; dance-pop; k-pop,musicbrainz
Garden Of Eden,Lady Gaga,52,1,2025-03-22,Rock,pop; dance-pop; rock; electronic; industrial,musicbrainz
Wake Up F1lthy,Playboi Carti & Travis Scott,52,1,2025-03-29,Hip Hop/Rap,hip hop; trap; rap; southern hip hop; cloud rap,musicbrainz
Fix What You Didn't Break,Nate Smith,52,19,2025-04-12,Country,country,musicbrainz
End Of The World,Miley Cyrus,52,4,2025-04-19,Rock,pop; rock; vocal; art rock; dance-pop,musicbrainz
Number 3 And Number 7,Morgan Wallen Featuring Eric Church,52,3,2025-05-31,Unknown,No genre data,none
Ceremony,Stray Kids,52,1,2025-09-06,Pop,k-pop; boy group; boy band; 4th gen k-pop; electropop,musicbrainz
Darlin',Chase Matthew,52,9,2025-10-04,Country,2020s; country pop; country rock,musicbrainz
Popular,Ariana Grande,53,5,2025-01-04,Hip Hop/Rap,pop; r&b; dance-pop; contemporary r&b; trap soul,musicbrainz
Redbone,Lil Baby & Glorilla,53,1,2025-01-18,Hip Hop/Rap,hip hop; english; rap; southern hip hop; trap,musicbrainz
Reflections Laughing,"The Weeknd, Travis Scott & Florence + the Machine",53,1,2025-02-15,Unknown,No genre data,none
Purple Lace Bra,Tate McRae,53,2,2025-03-08,R&B,pop; 2020s; dance-pop; alternative pop; contemporary r&b,musicbrainz
Jumpin,Playboi Carti & Lil Uzi Vert,53,1,2025-03-29,Unknown,No genre data,none
Past Life,Ariana Grande,53,1,2025-04-12,Hip Hop/Rap,pop; r&b; dance-pop; contemporary r&b; trap soul,musicbrainz
River Washed Hair,Zach Bryan,53,4,2025-07-19,Country,country; alternative country; americana; red dirt,musicbrainz
Champain & Vacay,Travis Scott & Don Toliver,53,2,2025-07-26,Hip Hop/Rap,hip hop; trap; rap; southern hip hop; english,musicbrainz
Heart Of Stone,Jelly Roll,53,13,2025-08-30,Country,country,musicbrainz
Dog House,"Drake, Julia Wolf & Yeat",53,1,2025-09-27,Hip Hop/Rap,hip hop; r&b; contemporary r&b; pop rap; alternative r&b,musicbrainz
Bodega Baddie,Cardi B,53,2,2025-10-04,Hip Hop/Rap,hip hop; alternative pop; east coast hip hop; pop; hardcore hip hop,musicbrainz
Diet Pepsi,Addison Rae,54,7,2025-01-11,Pop,pop; synth-pop; alternative pop; trip hop,musicbrainz
Shake Dat Ass (Twerk Song),BossMan Dlow,54,1,2025-01-11,Unknown,No genre data,none
Holy Smokes,Bailey Zimmerman,54,10,2025-01-11,Country,contemporary country; country; country pop,musicbrainz
On One Tonight,Gunna,54,1,2025-01-11,Hip Hop/Rap,hip hop; pop rap; southern hip hop; trap,musicbrainz
Miss Possessive,Tate McRae,54,2,2025-03-08,Unknown,No genre data,none
I Seeeeee You Baby Boi,Playboi Carti,54,1,2025-03-29,Hip Hop/Rap,hip hop; trap; rap; southern hip hop; cloud rap,musicbrainz
Warm,Ariana Grande,54,1,2025-04-12,Electronic/Dance,pop; electronic; downtempo; funk; vocal,musicbrainz
Revelation,Morgan Wallen,54,3,2025-05-31,Country,country; country pop,musicbrainz
Nice To Meet You,Myles Smith,54,24,2025-06-14,Pop,folk pop; stomp and holler,musicbrainz
Sharks,"Lil Wayne, Jelly Roll & Big Sean",54,1,2025-06-21,Hip Hop/Rap,hip hop; southern hip hop; gangsta rap; pop rap; r&b,musicbrainz
Dumbo,Travis Scott,54,2,2025-07-26,Hip Hop/Rap,hip hop; trap; rap; southern hip hop; english,musicbrainz
Mommanem,"Tyler, the Creator",54,2,2025-08-02,Hip Hop/Rap,hip hop; hardcore hip hop; horrorcore; west coast hip hop,musicbrainz
Napoleon,$uicideboy$,54,3,2025-08-16,Hip Hop/Rap,hip hop; cloud rap; southern hip hop; horrorcore; memphis rap,musicbrainz
Last One To Know,Gavin Adcock,54,14,2025-08-30,Country,country,musicbrainz
Twenties,Giveon,55,3,2025-02-22,R&B,contemporary r&b; pop soul; r&b,musicbrainz
Crank,Playboi Carti,55,1,2025-03-29,Hip Hop/Rap,hip hop; trap; rap; southern hip hop; cloud rap,musicbrainz
Party 4 U,Charli xcx,55,21,2025-05-03,Electronic/Dance,electropop; dance-pop; hyperpop; electronic; synth-pop,musicbrainz
I'll Take Care Of You,"Tyler, the Creator Featuring Yebba",55,2,2025-08-02,Unknown,No genre data,none
A Couple Minutes,Olivia Dean,55,4,2025-11-08,R&B,2020s; indie pop; neo soul; pop soul,musicbrainz
Christmas Magic,Laufey,56,1,2025-01-04,Unknown,No genre data,none
Empty Out Your Pockets,Juice WRLD,56,2,2025-01-04,Hip Hop/Rap,hip hop; emo rap; rap; trap; 2020s,musicbrainz
Ms. Whitman,Bhad Bhabie,56,3,2025-03-15,Hip Hop/Rap,hip hop; pop rap; southern hip hop; trap,musicbrainz
Like Weezy,Playboi Carti,56,2,2025-03-29,Hip Hop/Rap,hip hop; trap; rap; southern hip hop; cloud rap,musicbrainz
Ojos Tristes,"Selena Gomez, Benny Blanco & The Marias",56,5,2025-04-05,Unknown,No genre data,none
Amen,Shaboozey & Jelly Roll,56,28,2025-05-10,Unknown,No genre data,none
Dangerous,Sleep Token,56,1,2025-05-24,R&B,alternative metal; rock; progressive metal; alternative r&b,musicbrainz
Touch Me Like A Gangster,jessie murph,56,4,2025-06-21,Country,2020s; country pop; country soul,musicbrainz
Devotion,Justin Bieber & Dijon,56,1,2025-07-26,R&B,pop soul; psychedelic soul,musicbrainz
Don't Tap That Glass / Tweakin',"Tyler, the Creator",56,2,2025-08-02,Hip Hop/Rap,hip hop; hardcore hip hop; horrorcore; west coast hip hop,musicbrainz
Gorgeous,Doja Cat,56,1,2025-10-11,Hip Hop/Rap,hip hop; pop; pop rap; west coast hip hop; alternative rock,musicbrainz
My Old Ways,Tame Impala,56,1,2025-11-01,Rock,rock; electronic; pop; indie rock; deep house,musicbrainz
Heart Of A Woman,Summer Walker,57,16,2025-01-04,R&B,soul; rhythm and blues; neo-soul,lastfm
F U 2x,Lil Baby,57,2,2025-01-18,Unknown,No genre data,none
Emergence,Sleep Token,57,4,2025-03-29,R&B,alternative metal; rock; progressive metal; alternative r&b,musicbrainz
Just Us,Jack Harlow & Doja Cat,57,1,2025-04-05,Hip Hop/Rap,hip hop; english; pop rap; rap,musicbrainz
Friends Like That,John Morgan Featuring Jason Aldean,57,6,2025-04-05,Unknown,No genre data,none
Sweet Spot,Justin Bieber & Sexyy Red,57,1,2025-07-26,Pop,pop; teen pop; 2010s; 2020s; dance-pop,musicbrainz
I Ain't Sayin',Jordan Davis,58,13,2025-01-11,Country,country; country pop,musicbrainz
Haunted,Kane Brown With Jelly Roll,58,8,2025-02-08,Unknown,No genre data,none
Te Queria Ver,Aleman X Neton Vega,58,8,2025-03-22,Unknown,No genre data,none
Twin Trim,Playboi Carti & Lil Uzi Vert,58,1,2025-03-29,Unknown,No genre data,none
Camera,Ed Sheeran,58,10,2025-09-27,Pop,pop; folk pop; dance-pop; folk; singer-songwriter,musicbrainz
Robbed You,Summer Walker & Mariah the Scientist,58,1,2025-11-29,Hip Hop/Rap,pop; hip hop; funk; soul; swing,musicbrainz
Are You Even Real,Teddy Swims & GIVEON,59,14,2025-01-25,R&B,pop; pop soul; alternative rock; rhythm & blues; rock,musicbrainz
Hampstead,Ariana Grande,59,1,2025-04-12,Hip Hop/Rap,pop; r&b; dance-pop; contemporary r&b; trap soul,musicbrainz
First Place,Justin Bieber,59,1,2025-07-26,Unknown,No genre data,none
Don't You Worry Baby,"Tyler, the Creator Featuring Madison McFerrin",59,2,2025-08-02,Unknown,No genre data,none
Diamond Boy (DTM),SZA,60,2,2025-01-04,Hip Hop/Rap,neo-soul; smooth soul; trap soul; indie,lastfm
Khe?,Rauw Alejandro & Romeo Santos,60,6,2025-01-11,Hip Hop/Rap,latin; latin urban; hip hop; reggaeton; trap latino,musicbrainz
Backseat Driver,Kane Brown,60,16,2025-02-08,Country,country; bro-country; contemporary country; country pop,musicbrainz
Enjoy The Show,The Weeknd & Future,60,1,2025-02-15,Hip Hop/Rap,electronic; pop; hip hop; funk; soul,musicbrainz
Lasers,PARTYNEXTDOOR & Drake,60,1,2025-03-01,Hip Hop/Rap,hip hop; funk; soul; pop rap; contemporary r&b,musicbrainz
Jack And Jill,Morgan Wallen,60,3,2025-05-31,Country,country,musicbrainz
On My Mind,Alex Warren & ROSE,60,2,2025-07-12,Pop,2020s; indie pop; pop,musicbrainz
Go Girl,"Summer Walker, Latto & Doja Cat",60,1,2025-11-29,R&B,r&b; soul; anti vax; contemporary r&b,musicbrainz
Vanish Into You,Lady Gaga,61,1,2025-03-22,Pop,electropop; dance-pop; power pop; funk; art pop,lastfm
Texas,Blake Shelton,61,9,2025-03-22,Country,country; contemporary country; bro-country; country pop,musicbrainz
Your Way's Better,Forrest Frank,61,22,2025-05-03,Contemporary Christian,contemporary christian,musicbrainz
Even In Arcadia,Sleep Token,61,1,2025-05-24,Rock,art pop; rock; progressive metal; alternative metal,musicbrainz
Banned From NO,Lil Wayne,61,1,2025-06-21,Hip Hop/Rap,hip hop; southern hip hop; gangsta rap; pop rap; r&b,musicbrainz
Box Me Up,BigXthaPlug Featuring Jelly Roll,61,1,2025-09-06,Unknown,No genre data,none
What Do I Do,SZA,62,2,2025-01-04,R&B,contemporary r&b; r&b; alternative r&b; american; electronic,musicbrainz
What Is This Feeling?,Ariana Grande & Cynthia Erivo,62,1,2025-01-11,Unknown,No genre data,none
Lo Que Le Paso A Hawaii,Bad Bunny,62,3,2025-01-18,Hip Hop/Rap,reggaeton; latin; latin trap; trap latino; hip hop,musicbrainz
Cliche,MGK,62,6,2025-06-07,Hip Hop/Rap,hip hop; english; pop punk; pop rap; rap rock,musicbrainz
Welcome To Tha Carter,Lil Wayne,62,1,2025-06-21,Hip Hop/Rap,hip hop; southern hip hop; gangsta rap; pop rap; r&b,musicbrainz
So Be It,Clipse,62,1,2025-07-26,Hip Hop/Rap,coke rap; hip hop,musicbrainz
Madeline,Zach Bryan Featuring Gabriella Rose,62,2,2025-08-02,Unknown,No genre data,none
Who I Was,NF & MGK,62,1,2025-11-29,Hip Hop/Rap,rap; hip hop; rapper; pop rap,musicbrainz
Meet Your Padre,"PARTYNEXTDOOR, Drake & Chino Pacas",63,1,2025-03-01,Hip Hop/Rap,hip hop; funk; soul; pop rap; contemporary r&b,musicbrainz
Vanish Mode,Lil Durk,63,1,2025-04-12,Hip Hop/Rap,hip hop; chicago drill; drill; english; pop rap,musicbrainz
Come Back As A Redneck,Morgan Wallen Featuring HARDY,63,2,2025-05-31,Unknown,No genre data,none
What's Goin On,Cardi B Featuring Lizzo,63,2,2025-10-04,Unknown,No genre data,none
Leavin,Rod Wave,63,2,2025-10-25,Hip Hop/Rap,trap,musicbrainz
Out The Window,Kehlani,63,1,2025-11-22,R&B,neo soul; r&b; adult contemporary r&b; alternative r&b; contemporary r&b,musicbrainz
Another Life,SZA,64,2,2025-01-04,R&B,contemporary r&b; r&b; alternative r&b; american; electronic,musicbrainz
Por Esos Ojos,Fuerza Regida,64,15,2025-03-01,Regional Mexicano,regional mexicano,musicbrainz
bloodonmyhands,Tate McRae Featuring Flo Milli,64,1,2025-03-08,Unknown,No genre data,none
Marlboro Rojo,Fuerza Regida,64,21,2025-05-24,Regional Mexicano,regional mexicano,musicbrainz
So Far So Fake,Pierce the Veil,64,6,2025-08-16,Unknown,No genre data,none
Beautiful Things,Megan Moroney,64,3,2025-11-08,Country,country,musicbrainz
Listen Up,Lil Baby,65,1,2025-01-18,Unknown,No genre data,none
Niagara Falls,The Weeknd,65,1,2025-02-15,R&B,progressive electronic; chipmunk soul; alternative rnb; king of pop,lastfm
Olympian,Playboi Carti,65,1,2025-03-29,Hip Hop/Rap,hip hop; trap; rap; southern hip hop; cloud rap,musicbrainz
Mona Lisa,J-Hope,65,1,2025-04-05,Hip Hop/Rap,dance-pop; hip hop; k-pop; pop; r&b,musicbrainz
Somethin' 'Bout A Woman,Thomas Rhett Featuring Teddy Swims,65,6,2025-04-05,Unknown,No genre data,none
Tu Sancho,Fuerza Regida,65,10,2025-06-14,Regional Mexicano,regional mexicano,musicbrainz
Bells,Lil Wayne,65,1,2025-06-21,Hip Hop/Rap,hip hop; southern hip hop; gangsta rap; pop rap; r&b,musicbrainz
P.O.V.,"Clipse Featuring Tyler, the Creator",65,1,2025-07-26,Unknown,No genre data,none
No Pole,Don Toliver,66,18,2025-01-11,Hip Hop/Rap,alternative r&b; hip hop; trap,musicbrainz
Celibacy,PARTYNEXTDOOR & Drake,66,1,2025-03-01,Hip Hop/Rap,hip hop; funk; soul; pop rap; contemporary r&b,musicbrainz
Sweet Dreams,J-Hope Featuring Miguel,66,1,2025-03-22,Unknown,No genre data,none
Look To Windward,Sleep Token,66,1,2025-05-24,R&B,alternative metal; rock; progressive metal; alternative r&b,musicbrainz
Latina Foreva,Karol G,66,5,2025-06-07,Pop,pop; latin pop; latin; reggaeton; merengue,musicbrainz
Imaginary Playerz,Cardi B,66,2,2025-08-30,Hip Hop/Rap,hip hop; alternative pop; east coast hip hop; pop; hardcore hip hop,musicbrainz
Speed Demon,Justin Bieber,66,1,2025-09-20,R&B,alternative pop; contemporary r&b,musicbrainz
Part Of Me,A Boogie wit da Hoodie,66,1,2025-10-25,Hip Hop/Rap,hip hop; rap; trap; 2010s; 2020s,musicbrainz
I'm Not There For You,jessie murph,66,2,2025-11-08,Country,2020s; country pop; country soul,musicbrainz
15 Minutes,Sabrina Carpenter,67,1,2025-03-01,Rock,pop; synthpop; dance; pop rock,lastfm
The Abyss,The Weeknd & Lana Del Rey,68,1,2025-02-15,Hip Hop/Rap,electronic; pop; hip hop; funk; soul,musicbrainz
Born Again,LISA Featuring Doja Cat & RAYE,68,2,2025-02-22,Unknown,No genre data,none
Chest Pain (I Love),Malcolm Todd,68,3,2025-04-19,R&B,r&b,musicbrainz
In Your Fantasy,ATEEZ,68,1,2025-07-26,Pop,boy band; boy group; k-pop; 4th gen k-pop; male vocals,musicbrainz
Forever Be Mine,Gunna Featuring Wizkid,68,2,2025-08-23,Unknown,No genre data,none
The Fall,Cody Johnson,68,8,2025-10-11,Country,country,musicbrainz
Baby,Summer Walker & Chris Brown,68,1,2025-11-29,Hip Hop/Rap,pop; hip hop; funk; soul; swing,musicbrainz
No More Hiding,SZA,69,1,2025-01-04,R&B,contemporary r&b; r&b; alternative r&b; american; electronic,musicbrainz
Burning Down,Alex Warren,69,10,2025-01-11,Pop,pop,musicbrainz
Take Me Back To LA,The Weeknd,69,1,2025-02-15,R&B,synthpop; alternative rnb; electropop; electronic,lastfm
cLOUDs,J. Cole,69,2,2025-03-08,Hip Hop/Rap,hip hop,musicbrainz
How Bad Do U Want Me,Lady Gaga,69,1,2025-03-22,Pop,synthpop; pop court with manda m; electropop; dance-pop; pop,lastfm
Munyun,Playboi Carti,69,1,2025-03-29,Hip Hop/Rap,hip hop; trap; rap; southern hip hop; cloud rap,musicbrainz
The Dealer,Morgan Wallen Featuring ERNEST,69,2,2025-05-31,Unknown,No genre data,none
Lemon Drop,ATEEZ,69,1,2025-06-28,Pop,boy band; boy group; k-pop; 4th gen k-pop; male vocals,musicbrainz
Ninja,Young Thug,69,1,2025-10-11,Hip Hop/Rap,hip hop; rap; trap; mumble rap; progressive rap,musicbrainz
Take Me Thru Dere,"Metro Boomin, Quavo, Breskii & YKNIECE",69,8,2025-10-11,Unknown,No genre data,none
No,Summer Walker,69,1,2025-11-29,Hip Hop/Rap,pop; hip hop; funk; soul; swing,musicbrainz
Crybaby,SZA,70,2,2025-01-04,R&B,contemporary r&b; r&b; alternative r&b; american; electronic,musicbrainz
Greedy,PARTYNEXTDOOR & Drake,70,1,2025-03-01,Hip Hop/Rap,hip hop; funk; soul; pop rap; contemporary r&b,musicbrainz
This Town's Been Too Good To Us,Dylan Scott,70,2,2025-04-05,Country,country,musicbrainz
Hands Of Time,Eric Church,70,4,2025-04-26,Country,country; contemporary country; country pop; country rock,musicbrainz
Past Self,Sleep Token,70,1,2025-05-24,Hip Hop/Rap,pop rap; rock; progressive metal; alternative metal; alternative pop,musicbrainz
Leavin's The Least I Could Do,Morgan Wallen,70,2,2025-05-31,Unknown,No genre data,none
Won't Stop,Gunna,70,1,2025-06-28,Hip Hop/Rap,hip hop; pop rap; southern hip hop; trap,musicbrainz
Went Legit,G Herbo,70,18,2025-07-12,Hip Hop/Rap,chicago drill; drill; hip hop; trap,musicbrainz
Swag,"Justin Bieber, Cash Cobain & Eddie Benjamin",70,1,2025-07-26,Hip Hop/Rap,alternative r&b; pop rap; cloud rap; sexy drill,musicbrainz
Sakpase,Gunna,70,1,2025-08-23,Hip Hop/Rap,hip hop; pop rap; southern hip hop; trap,musicbrainz
Man Of Your Word,Cardi B Featuring Dougie F,70,1,2025-10-04,Unknown,No genre data,none
Sorry,NF With James Arthur,70,1,2025-11-29,Hip Hop/Rap,rap; hip hop; rapper; pop rap,musicbrainz
Kitchen,SZA,71,2,2025-01-04,R&B,dream pop; bedroom pop; psychedelic soul; indie; indie pop,lastfm
The Largest,BigXthaPlug,71,18,2025-01-11,Hip Hop/Rap,trap,musicbrainz
Wondering Why,The Red Clay Strays,71,3,2025-01-11,Country,country,musicbrainz
I Promise,Lil Baby,71,1,2025-01-18,Hip Hop/Rap,hip hop; english; rap; southern hip hop; trap,musicbrainz
Given Up On Me,The Weeknd,71,1,2025-02-15,Hip Hop/Rap,electronic; pop; hip hop; funk; soul,musicbrainz
We Need All Da Vibes,"Playboi Carti, Young Thug & Ty Dolla $ign",71,1,2025-03-29,Hip Hop/Rap,hip hop; trap; rap; southern hip hop; cloud rap,musicbrainz
How Does It Feel To Be Forgotten,Selena Gomez & Benny Blanco,71,1,2025-04-05,Electronic/Dance,dance-pop; pop; electro house; electropop; teen pop,musicbrainz
Went West,BabyChiefDoit,71,2,2025-07-12,Hip Hop/Rap,trap,musicbrainz
Maui Wowie,Kid Cudi,71,3,2025-10-25,Hip Hop/Rap,alternative hip hop; hip hop; pop rap; trap; us,musicbrainz
Heavens To Betsy,Jackson Dean,71,3,2025-11-01,Country,country,musicbrainz
Tattoo,Tito Double P,72,8,2025-03-15,Latin,corrido; latin; regional mexicano,musicbrainz
They Want To Be You,Lil Durk Featuring Future,72,1,2025-04-12,Unknown,No genre data,none
Drinking Til It Does,Morgan Wallen,72,2,2025-05-31,Unknown,No genre data,none
Bodies,Offset & JID,72,2,2025-07-05,Unknown,No genre data,none
2000 Excursion,"Travis Scott, Sheck Wes & Don Toliver",72,1,2025-07-26,Hip Hop/Rap,hip hop; trap; rap; southern hip hop; english,musicbrainz
At My Purest,Gunna Featuring Offset,72,1,2025-08-23,Unknown,No genre data,none
Eyes Closed,JISOO & ZAYN,72,1,2025-10-25,Pop,k-pop; 2020s; 3rd gen k-pop,musicbrainz
Due 4A Win,Lil Baby,73,1,2025-01-18,Hip Hop/Rap,hip hop; english; rap; southern hip hop; trap,musicbrainz
Blue Jean Baby,Zach Bryan,73,2,2025-02-08,Country,country; alternative country; americana; red dirt,musicbrainz
Nissan Altima,Doechii,73,2,2025-02-15,Hip Hop/Rap,hip hop; pop rap,musicbrainz
When He's Gone,PARTYNEXTDOOR & Drake,73,1,2025-03-01,Hip Hop/Rap,hip hop; funk; soul; pop rap; contemporary r&b,musicbrainz
Nothin' Left,Morgan Wallen,73,1,2025-05-31,Unknown,No genre data,none
